iso3,country_name_clean,region,debt_source,icrg_match,year,debt,debt_service,vulnerability,exposure,sensitivity,damage_gdp,n_events,deaths_tot,gdp_pc_ppp,gdp_growth,current_account,inflation,fiscal_balance,remittances,trade_gdp_unctad,population,gdp_nominal_usd
BRB,Barbados,Caribbean,WEO,FALSE,2010,95.278,NA,0.376445819468084,0.396215852502981,0.357052363484591,0,2,0,22243.4579670705,-2.21771085628247,-4.80094802192857,5.82421853311866,-7.49,1.44315599058682,30.654515327257663,275243,5672900000
BRB,Barbados,Caribbean,WEO,FALSE,2011,99.025,NA,0.368755441743557,0.396215852502981,0.348397649963005,0,0,0,22102.4817004397,-0.310320187825369,-3.06566203714413,9.43220240177221,-3.638,2.60092998872702,30.672246649361657,276139,5663100000
BRB,Barbados,Caribbean,WEO,FALSE,2012,108.807,NA,0.358080088992138,0.396215852502981,0.339545539255734,0,0,0,21286.3318932135,-3.41390821153806,-7.78444983691588,4.53334753888766,-7.039,2.6437761751353,31.068567808450997,276938,5761450000
BRB,Barbados,Caribbean,WEO,FALSE,2013,118.402,NA,0.357953248169648,0.396215852502981,0.343282222792605,0,0,0,20854.5676341718,-1.771174940631,-4.45520535550838,1.81410436049105,-8.97,3.36994693993214,33.54390175042349,277665,5667200000
BRB,Barbados,Caribbean,WEO,FALSE,2014,122.44,NA,0.362758793848484,0.396215852502981,0.342464774542028,0,0,0,20959.9650372142,0.752615446604594,-11.4856517303176,1.76950322089729,-6.592,3.35759458054003,32.57659324627264,278348,5620600000
BRB,Barbados,Caribbean,WEO,FALSE,2015,131.623,NA,0.365168554447528,0.396215852502981,0.344009607921572,0,0,0,20666.9651609374,-1.17048018967635,-1.73271064609934,-1.11278992510967,-8.149,3.47548405771143,33.25640778147294,278990,5698150000
BRB,Barbados,Caribbean,WEO,FALSE,2016,135.269,NA,0.366827508449087,0.396215852502981,0.34362856874585,0,0,0,20930.633669268,1.49650622520576,-7.97219725105764,1.28192813061895,-4.84,2.77568533435837,34.38127797554012,279598,5674600000
BRB,Barbados,Caribbean,WEO,FALSE,2017,142.847,NA,0.362763830448069,0.396215852502981,0.346751912640183,0,1,1,21035.7933581451,0.708386729317951,-5.21534372598635,4.66018463955996,-3.868,1.4987444023121,35.36770980882081,280171,5683150000
BRB,Barbados,Caribbean,WEO,FALSE,2018,114.212,NA,0.371310350436335,0.396215852502981,0.345730949262735,0,0,0,20727.4216338412,-1.2760241773002,-3.578,3.67381410406801,-0.342,1.41913698881197,35.10525745799282,280711,6001950000
BRB,Barbados,Caribbean,WEO,FALSE,2019,107.646,NA,0.372169283391949,0.396215852502981,0.345705186868531,0,0,0,20737.9776890352,0.227712137486577,-1.6,4.10028964518461,3.032,1.38231038567963,37.18039225232682,281207,6161850000
BRB,Barbados,Caribbean,WEO,FALSE,2020,138.17,NA,0.372416837395272,0.396215852502981,0.346117370458234,0,0,0,17728.0729247569,-14.3647119341564,-4.99,NA,-4.473,1.57527473391221,26.243515410436373,281698,5407050000
BRB,Barbados,Caribbean,WEO,FALSE,2021,121.594,NA,0.374166210923063,0.396215852502981,0.345913906641905,0,1,0,17682.7314537483,-0.0967779613221893,-10.262,NA,-4.345,1.43211730040101,24.917823305394656,282147,5947550000
BRB,Barbados,Caribbean,WEO,FALSE,2022,113.683,NA,0.370508221585735,0.396215852502981,0.341143305040604,0,0,0,20716.2851304966,17.2264626793379,-9.889,NA,-1.903,1.23714059027727,29.0200293395692,282318,6884900000
BRB,Barbados,Caribbean,WEO,FALSE,2023,111.477,NA,0.370961980033602,0.396215852502981,0.34254381203972,0,1,0,21318.6724772626,2.914357359625,-8.779,9.79207077126447,-1.685,1.17919070363064,30.747932025057978,282336,7223250000
COM,Comoros,AIS,IDS,FALSE,2000,66.0880618704268,0.958119462886256,0.551818379348279,0.470871413538449,0.386348384074096,0,0,0,2858.85692121457,-1.00701887109655,-0.138,NA,-1.138,NA,NA,536080,339504306.290689
COM,Comoros,AIS,IDS,FALSE,2001,64.01136640745,0.761466385599768,0.549510714172243,0.470871413538449,0.382887274037456,0,0,0,2952.44235205824,5.41959971808741,1.847,5.55459394816812,-2.128,NA,NA,547220,372746486.166796
COM,Comoros,AIS,IDS,FALSE,2002,63.6246490862529,1.10648427668081,0.546450224238557,0.470871413538449,0.379717723923153,0,0,0,3023.52434389434,4.59768263263243,0.387,3.53304214308078,-2.146,NA,NA,558923,427360070.324544
COM,Comoros,AIS,IDS,FALSE,2003,53.1575344952079,0.560009261599297,0.549340812045842,0.470871413538449,0.388060991815119,0,1,0,3023.18985379149,1.93442812313498,-3.37217076421927,3.799081366719,-2.045,5.85967229054345,NA,569798,546830040.540273
COM,Comoros,AIS,IDS,FALSE,2004,48.1778567524533,0.532920438994959,0.551020088469342,0.470871413538449,0.39647236367888,0,0,0,3058.38338421434,3.10041210399676,-3.330057820404,4.47499289078107,-0.98,7.82183926282691,NA,580704,622679660.37137
COM,Comoros,AIS,IDS,FALSE,2005,44.2556367979149,0.616817673867064,0.54017428692085,0.470871413538449,0.371132213509986,0,3,1,3166.36268239583,5.66520240193151,-4.09701964792287,3.0133239505812,-1.414,8.24805914428322,8.697309427235265,592677,655375095.906176
COM,Comoros,AIS,IDS,FALSE,2006,42.0985385628614,0.546723722142951,0.530642782569045,0.470871413538449,0.350931350254892,0,2,0,3048.69236655028,-1.75444679449394,-3.27357312325321,3.37436360121204,-1.507,9.1790322836995,8.714614144799027,604753,688498641.512529
